"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18"
"AFG","Afghanistan",2020-03-30,170,2,0.496,25.5,74.5
"AGO","Angola",2020-04-25,25,1,0.5745,65.51,34.49
"ALB","Albania",2020-04-15,494,2,0.7914,60.32,39.68
"AND","Andorra",2020-03-09,1,0,0.8568,88.06,11.94
"ARE","United Arab Emirates",2020-02-07,5,0,0.8664,86.52,13.48
"ARG","Argentina",2020-04-01,1054,2,0.8301,91.87,8.13
"AUS","Australia",2020-02-04,13,2,0.9384,86.01,13.99
"AUT","Austria",2020-03-31,10180,2,0.9138,58.3,41.7
"AZE","Azerbaijan",2020-03-08,9,2,0.7539,55.68,44.32
"BDI","Burundi",2020-04-08,3,1,0.4229,13.03,86.97
"BEL","Belgium",2020-03-12,314,2,0.9188,98,2
"BEN","Benin",2020-04-21,54,2,0.5198,47.31,52.69
"BFA","Burkina Faso",2020-04-16,546,2,0.4335,29.36,70.64
"BGD","Bangladesh",2020-04-14,1012,2,0.6137,36.63,63.37
"BGR","Bulgaria",2020-04-14,713,2,0.8157,75.01,24.99
"BHR","Bahrain",2020-03-30,515,2,0.8378,89.29,10.71
"BIH","Bosnia and Herzegovina",2020-04-11,946,2,0.7692,48.24,51.76
"BLR","Belarus",2020-03-06,6,0,0.8171,78.6,21.41
"BLZ","Belize",2020-04-28,18,2,0.7202,45.72,54.28
"BRA","Brazil",2020-03-04,4,2,0.7612,86.57,13.43
"BRB","Barbados",2020-04-22,75,2,0.8133,31.15,68.85
"BTN","Bhutan",2020-04-12,5,2,0.6173,40.9,59.1
"BWA","Botswana",2020-04-07,6,2,0.7278,69.45,30.55
"CAF","Central African Republic",2020-04-20,12,2,0.3807,41.36,58.64
"CAN","Canada",2020-02-04,4,0,0.9221,81.41,18.59
"CHE","Switzerland",2020-03-31,16605,2,0.9459,73.8,26.2
"CHL","Chile",2020-03-03,10,0,0.8469,87.56,12.44
"CHN","China",2020-02-27,78600,2,0.7576,59.15,40.85
"CMR","Cameroon",2020-04-12,820,0,0.5627,56.37,43.63
"COL","Colombia",2020-04-12,2776,2,0.7609,80.78,19.22
"CRI","Costa Rica",2020-04-12,595,2,0.7935,79.34,20.66
"CUB","Cuba",2020-04-18,986,2,0.7777,77.04,22.96
"CYP","Cyprus",2020-04-15,715,2,0.873,66.81,33.19
"DEU","Germany",2020-02-05,12,1,0.9388,77.31,22.69
"DJI","Djibouti",2020-04-23,986,2,0.4954,77.78,22.22
