"Code","Country","Día30","ContagDía30","infoalawk","HDI","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Día7","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"AGO","Angola",2020-04-25,25,1,0.5745,65.51,34.49,2.79150027781725,3289.64666408633,90.74,2020-04-04,-1.052086,"Sin apoyo",24.7130520574316,7
"ALB","Albania",2020-04-15,494,2,0.7914,60.32,39.68,NA,5284.38018438156,81.48,2020-03-17,0.114788,"Sin apoyo",104.612262773723,14
"AND","Andorra",2020-03-09,1,0,0.8568,88.06,11.94,10.3205524384975,41793.0552583729,48.15,2020-03-28,1.944976,"Más del 50% del sueldo",163.842553191489,4
"ARE","United Arab Emirates",2020-02-07,5,0,0.8664,86.52,13.48,3.33428233861923,43839.3563491413,73.15,2020-03-26,1.431291,"Sin apoyo",135.609110109828,2
"ARG","Argentina",2020-04-01,1054,2,0.8301,91.87,8.13,9.12431478500366,11683.9496216363,25,2020-03-14,0.0259878,"Sin apoyo",16.2585100979651,8
"AUS","Australia",2020-02-04,13,2,0.9384,86.01,13.99,9.20594781637192,57395.9194663167,19.44,2020-03-07,1.596495,"Sin apoyo",3.24787091037205,6
"AUT","Austria",2020-03-31,10180,2,0.9138,58.3,41.7,10.3966169059277,51525.0464342791,85.19,2020-03-18,1.453342,"Sin apoyo",107.127966860564,6
"AZE","Azerbaijan",2020-03-08,9,2,0.7539,55.68,44.32,6.65182918310165,4739.84171028393,61.11,2020-03-19,-0.1004674,"Sin apoyo",120.23431716463,5
"BDI","Burundi",2020-04-08,3,1,0.4229,13.03,86.97,7.51757025718689,271.752044376648,13.89,2020-04-19,-1.419982,"Sin apoyo",435.178271028037,NA
"BEL","Belgium",2020-03-12,314,2,0.9188,98,2,10.338669270277,47491.3232594693,50.93,2020-03-17,1.171748,"Más del 50% del sueldo",377.379590488771,7
"BEN","Benin",2020-04-21,54,2,0.5198,47.31,52.69,3.71858216822147,1240.82946441954,70.83,2020-04-12,-0.5659866,"Sin apoyo",101.853919829727,1
"BFA","Burkina Faso",2020-04-16,546,2,0.4335,29.36,70.64,6.91505968570709,820.160793810547,84.26,2020-03-24,-0.5783429,"Sin apoyo",72.1912828947368,77
"BGD","Bangladesh",2020-04-14,1012,2,0.6137,36.63,63.37,2.27424874901772,1698.35039428122,81.48,2020-03-24,-0.7483993,"Sin apoyo",1239.57931166936,4
"BGR","Bulgaria",2020-04-14,713,2,0.8157,75.01,24.99,8.09560343623161,9423.5586115666,56.48,2020-03-17,0.2718757,"Sin apoyo",64.7110998526161,6
"BHR","Bahrain",2020-03-30,515,2,0.8378,89.29,10.71,4.74810488522053,23991.05667694,69.44,2020-03-22,0.1798774,"Sin apoyo",2017.27369979138,4
"BIH","Bosnia and Herzegovina",2020-04-11,946,2,0.7692,48.24,51.76,8.93166735768318,6072.18099160639,89.81,2020-03-27,-0.6185398,"Menos del 50% del sueldo",64.92048828125,21
"BLR","Belarus",2020-03-06,6,0,0.8171,78.6,21.41,5.92578575015068,6330.0752464187,19.44,2020-04-06,-0.3010303,"Sin apoyo",46.7195037884204,1
"BLZ","Belize",2020-04-28,18,2,0.7202,45.72,54.28,5.64282275736332,4884.7341615523,75,2020-04-12,-0.5938884,"Menos del 50% del sueldo",16.7939938623411,9
"BRA","Brazil",2020-03-04,4,2,0.7612,86.57,13.43,9.46747660636902,9001.23424863499,71.76,2020-03-23,-0.4474374,"Sin apoyo",25.0617162430876,13
"BRB","Barbados",2020-04-22,75,2,0.8133,31.15,68.85,6.77912682294846,17745.1934649963,88.89,2020-04-11,0.4269727,"Menos del 50% del sueldo",666.606976744186,10
"BWA","Botswana",2020-04-07,6,2,0.7278,69.45,30.55,6.13456815481186,8279.60136473398,86.11,2020-04-06,0.3334411,"Menos del 50% del sueldo",3.97742487604327,20
"CAF","Central African Republic",2020-04-20,12,2,0.3807,41.36,58.64,5.82177564501762,475.953609871945,75.93,2020-05-29,-1.720417,"Menos del 50% del sueldo",7.49041221227006,7
"CAN","Canada",2020-02-04,4,0,0.9221,81.41,18.59,10.5727694928646,46313.1713712961,24.07,2020-03-15,1.716108,"Más del 50% del sueldo",4.07518823864492,6
"CHE","Switzerland",2020-03-31,16605,2,0.9459,73.8,26.2,12.3463220894337,82818.1081617471,25,2020-03-11,2.039621,"Sin apoyo",215.465350480429,3
"CHL","Chile",2020-03-03,10,0,0.8469,87.56,12.44,8.9835099875927,15924.7942393064,73.15,2020-03-28,1.084034,"Sin apoyo",25.1894460666519,7
"CHN","China",2020-02-27,78600,2,0.7576,59.15,40.85,5.15119321644306,9976.67682180773,69.91,2020-01-28,0.4771284,"Sin apoyo",148.348833270666,4
"CMR","Cameroon",2020-04-12,820,0,0.5627,56.37,43.63,4.67066690325737,1534.49127445052,57.41,2020-03-31,-0.7996525,"Sin apoyo",53.3439889149796,4
"COL","Colombia",2020-04-12,2776,2,0.7609,80.78,19.22,7.22628086805344,6718.58532391314,87.96,2020-03-28,-0.0852262,"Sin apoyo",44.7487021180712,9
"CRI","Costa Rica",2020-04-12,595,2,0.7935,79.34,20.66,7.32879638671875,12112.1344206452,71.3,2020-03-25,0.3781868,"Sin apoyo",97.9130630630631,8
"CUB","Cuba",2020-04-18,986,2,0.7777,77.04,22.96,11.7113269865513,8821.81889125004,66.67,2020-03-24,-0.2448378,"Sin apoyo",108.999596231494,3
"CYP","Cyprus",2020-04-15,715,2,0.873,66.81,33.19,6.68456926941872,28689.7067225792,92.59,2020-03-28,0.9209022,"Más del 50% del sueldo",128.708333333333,NA
"DEU","Germany",2020-02-05,12,1,0.9388,77.31,22.69,11.2468346953392,47639.0034407122,32.87,2020-03-15,1.619633,"Sin apoyo",237.30759674834,4
"DJI","Djibouti",2020-04-23,986,2,0.4954,77.78,22.22,3.31651791930199,3141.88921873893,100,2020-04-16,-0.8990966,"Sin apoyo",41.3684210526316,NA
"DNK","Denmark",2020-03-05,11,2,0.9299,87.87,12.13,10.1082794368267,61390.6930097009,72.22,2020-03-20,1.871631,"Más del 50% del sueldo",137.976565849012,6
"DOM","Dominican Republic",2020-03-08,5,2,0.7446,81.07,18.93,6.13639503717422,8050.63044027449,81.48,2020-03-23,-0.4002573,"Sin apoyo",219.97857586421,5
"ECU","Ecuador",2020-03-08,14,2,0.7579,63.82,36.18,8.25742930173874,6295.93539868079,93.52,2020-03-20,-0.2613976,"Sin apoyo",68.7886817522951,5
"EGY","Egypt",2020-03-21,294,0,0.6997,42.7,57.3,5.28763681650162,2549.13225178609,0,2020-03-14,-0.5848041,"Sin apoyo",98.8734692852479,12
