"Country","Code","%pobrur18"
"Aruba","ABW",56.59
"Afganistán","AFG",74.5
"Angola","AGO",34.49
"Albania","ALB",39.68
"Andorra","AND",11.94
"El mundo árabe","ARB",41.07
"Emiratos Árabes Unidos","ARE",13.48
"Argentina","ARG",8.13
"Armenia","ARM",36.85
"Samoa Americana","ASM",12.85
"Antigua y Barbuda","ATG",75.4
"Australia","AUS",13.99
"Austria","AUT",41.7
"Azerbaiyán","AZE",44.32
"Burundi","BDI",86.97
"Bélgica","BEL",2
"Benin","BEN",52.69
"Burkina Faso","BFA",70.64
"Bangladesh","BGD",63.37
"Bulgaria","BGR",24.99
"Bahrein","BHR",10.71
"Bahamas","BHS",16.98
"Bosnia y Herzegovina","BIH",51.76
"Belarús","BLR",21.41
"Belice","BLZ",54.28
"Bermudas","BMU",0
"Bolivia","BOL",30.58
"Brasil","BRA",13.43
"Barbados","BRB",68.85
"Brunei Darussalam","BRN",22.37
"Bhután","BTN",59.1
"Botswana","BWA",30.55
"República Centroafricana","CAF",58.64
"Canadá","CAN",18.59
"Europa Central y del Báltico","CEB",37.67
"Suiza","CHE",26.2
"Islas del Canal","CHI",69.09
"Chile","CHL",12.44
"China","CHN",40.85
"Côte d'Ivoire","CIV",49.22
"Camerún","CMR",43.63
"Congo, República Democrática del","COD",55.54
"Congo, República del","COG",33.08
"Colombia","COL",19.22
"Comoras","COM",71.03
"Cabo Verde","CPV",34.27
"Costa Rica","CRI",20.66
"Estados pequeos del Caribe","CSS",48.8
"Cuba","CUB",22.96
"Curacao","CUW",10.86
"Islas Caimán","CYM",0
"Chipre","CYP",33.19
"República Checa","CZE",26.21
"Alemania","DEU",22.69
"Djibouti","DJI",22.22
"Dominica","DMA",29.52
"Dinamarca","DNK",12.13
"República Dominicana","DOM",18.93
"Argelia","DZA",27.37
"Ecuador","ECU",36.18
"Egipto, República Árabe de","EGY",57.3
"Eritrea","ERI",59.92
"España","ESP",19.68
"Estonia","EST",31.12
"Etiopía","ETH",79.24
"Finlandia","FIN",14.62
"Fiji","FJI",43.75
"Francia","FRA",19.56
"Islas Feroe","FRO",57.94
"Micronesia (Estados Federados de)","FSM",77.3
"Gabón","GAB",10.63
"Reino Unido","GBR",16.6
"Georgia","GEO",41.37
"Ghana","GHA",43.94
"Gibraltar","GIB",0
"Guinea","GIN",63.86
"Gambia","GMB",38.73
"Guinea-Bissau","GNB",56.64
"Guinea Ecuatorial","GNQ",27.86
"Grecia","GRC",20.94
"Granada","GRD",63.73
"Groenlandia","GRL",13.18
"Guatemala","GTM",48.95
"Guam","GUM",5.22
"Guyana","GUY",73.39
"Hong Kong, Región Administrativa Especial","HKG",0
"Honduras","HND",42.9
"Croacia","HRV",43.05
"Haití","HTI",44.72
"Hungría","HUN",28.65
"Indonesia","IDN",44.67
"Isla de Man","IMN",47.41
"India","IND",65.97
"Irlanda","IRL",36.83
"Irán, República Islámica del","IRN",25.1
"Iraq","IRQ",29.53
"Islandia","ISL",6.19
"Israel","ISR",7.58
"Italia","ITA",29.56
"Jamaica","JAM",44.33
"Jordania","JOR",9.02
"Japón","JPN",8.38
"Kazajstán","KAZ",42.57
"Kenya","KEN",72.97
"Kirguistán","KGZ",63.65
"Camboya","KHM",76.61
"Kiribati","KIR",45.94
"Saint Kitts y Nevis","KNA",69.22
"Corea, República de","KOR",18.54
"Kuwait","KWT",0
"República Democrática Popular Lao","LAO",65
"Líbano","LBN",11.41
"Liberia","LBR",48.85
"Libia","LBY",19.9
"Santa Lucía","LCA",81.32
"Liechtenstein","LIE",85.66
"Sri Lanka","LKA",81.52
"Lesotho","LSO",71.85
"Lituania","LTU",32.32
"Luxemburgo","LUX",9.02
"Letonia","LVA",31.86
"Región Administrativa Especial de Macao, China","MAC",0
"Isla de San Martín (parte francesa)","MAF",NA
"Marruecos","MAR",37.55
"Mónaco","MCO",0
"República de Moldova","MDA",57.37
"Madagascar","MDG",62.81
"Maldivas","MDV",60.19
"México","MEX",19.84
