"Country","Code","%poburb18"
"Aruba","ABW",43.41
"Afganistán","AFG",25.5
"Angola","AGO",65.51
"Albania","ALB",60.32
"Andorra","AND",88.06
"El mundo árabe","ARB",58.93
"Emiratos Árabes Unidos","ARE",86.52
"Argentina","ARG",91.87
"Armenia","ARM",63.15
"Samoa Americana","ASM",87.15
"Antigua y Barbuda","ATG",24.6
"Australia","AUS",86.01
"Austria","AUT",58.3
"Azerbaiyán","AZE",55.68
"Burundi","BDI",13.03
"Bélgica","BEL",98
"Benin","BEN",47.31
"Burkina Faso","BFA",29.36
"Bangladesh","BGD",36.63
"Bulgaria","BGR",75.01
"Bahrein","BHR",89.29
"Bahamas","BHS",83.03
"Bosnia y Herzegovina","BIH",48.24
"Belarús","BLR",78.6
"Belice","BLZ",45.72
"Bermudas","BMU",100
"Bolivia","BOL",69.42
"Brasil","BRA",86.57
"Barbados","BRB",31.15
"Brunei Darussalam","BRN",77.63
"Bhután","BTN",40.9
"Botswana","BWA",69.45
"República Centroafricana","CAF",41.36
"Canadá","CAN",81.41
"Europa Central y del Báltico","CEB",62.33
"Suiza","CHE",73.8
"Islas del Canal","CHI",30.91
"Chile","CHL",87.56
"China","CHN",59.15
"Côte d'Ivoire","CIV",50.78
"Camerún","CMR",56.37
"Congo, República Democrática del","COD",44.46
"Congo, República del","COG",66.92
"Colombia","COL",80.78
"Comoras","COM",28.96
"Cabo Verde","CPV",65.73
"Costa Rica","CRI",79.34
"Estados pequeos del Caribe","CSS",51.2
"Cuba","CUB",77.04
"Curacao","CUW",89.14
"Islas Caimán","CYM",100
"Chipre","CYP",66.81
"República Checa","CZE",73.79
"Alemania","DEU",77.31
"Djibouti","DJI",77.78
"Dominica","DMA",70.48
"Dinamarca","DNK",87.87
"República Dominicana","DOM",81.07
"Argelia","DZA",72.63
"Ecuador","ECU",63.82
"Egipto, República Árabe de","EGY",42.7
"Eritrea","ERI",40.08
"España","ESP",80.32
"Estonia","EST",68.88
"Etiopía","ETH",20.76
"Finlandia","FIN",85.38
"Fiji","FJI",56.25
"Francia","FRA",80.44
"Islas Feroe","FRO",42.06
"Micronesia (Estados Federados de)","FSM",22.7
"Gabón","GAB",89.37
"Reino Unido","GBR",83.4
"Georgia","GEO",58.63
"Ghana","GHA",56.06
"Gibraltar","GIB",100
"Guinea","GIN",36.14
"Gambia","GMB",61.27
"Guinea-Bissau","GNB",43.36
"Guinea Ecuatorial","GNQ",72.14
"Grecia","GRC",79.06
"Granada","GRD",36.27
"Groenlandia","GRL",86.82
"Guatemala","GTM",51.05
"Guam","GUM",94.78
"Guyana","GUY",26.61
"Hong Kong, Región Administrativa Especial","HKG",100
"Honduras","HND",57.1
"Croacia","HRV",56.95
"Haití","HTI",55.28
"Hungría","HUN",71.35
"Indonesia","IDN",55.33
"Isla de Man","IMN",52.59
"India","IND",34.03
"Irlanda","IRL",63.17
"Irán, República Islámica del","IRN",74.9
"Iraq","IRQ",70.47
"Islandia","ISL",93.81
"Israel","ISR",92.42
"Italia","ITA",70.44
"Jamaica","JAM",55.67
"Jordania","JOR",90.98
"Japón","JPN",91.62
"Kazajstán","KAZ",57.43
"Kenya","KEN",27.03
"Kirguistán","KGZ",36.35
"Camboya","KHM",23.39
"Kiribati","KIR",54.06
"Saint Kitts y Nevis","KNA",30.78
"Corea, República de","KOR",81.46
"Kuwait","KWT",100
"República Democrática Popular Lao","LAO",35
"Líbano","LBN",88.59
"Liberia","LBR",51.15
"Libia","LBY",80.1
"Santa Lucía","LCA",18.68
"Liechtenstein","LIE",14.34
"Sri Lanka","LKA",18.48
"Lesotho","LSO",28.15
"Lituania","LTU",67.68
"Luxemburgo","LUX",90.98
"Letonia","LVA",68.14
"Región Administrativa Especial de Macao, China","MAC",100
"Isla de San Martín (parte francesa)","MAF",NA
"Marruecos","MAR",62.45
"Mónaco","MCO",100
"República de Moldova","MDA",42.63
"Madagascar","MDG",37.19
"Maldivas","MDV",39.81
"México","MEX",80.16
"Islas Marshall","MHL",77.03
"Macedonia del Norte","MKD",57.96
"Malí","MLI",42.36
